PLAYER,YEAR,POS,HEIGHT,WEIGHT,BMI,BODY FAT,STANDING REACH,WINGSPAN,HAND LENGTH,HAND WIDTH,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,SHUTTLE RUN,THREE QUARTER SPRINT,BENCH PRESS,BAR,PAN,PBH,PDT
"Smart, Marcus",2014,PG,74.00,227.2,29.17,10.6,99.0,81.25,9.00,8.8,33.0,36.0,10.82,2.96,3.26,NA,1.098,78.8,132.0,135
"Smith, Russ",2014,PG,71.50,160.0,22.00,3.5,95.0,75.50,8.25,8.5,29.5,34.0,11.57,3.01,3.27,NA,1.056,70.1,124.5,129
"Stauskas, Nik",2014,SG,77.25,206.9,24.37,12.1,102.0,79.75,8.50,8.5,29.0,35.5,10.79,2.92,3.27,NA,1.032,72.3,131.0,137.5
"Stokes, Jarnell",2014,PF,79.00,262.8,29.60,8.2,103.5,85.25,9.75,10.5,31.0,36.0,11.92,3.20,3.26,NA,1.079,102.4,134.5,139.5
"Thames, Xavier",2014,PG,74.25,187.0,23.85,6.4,96.0,76.00,8.25,9.0,29.0,32.5,11.48,3.02,3.48,NA,1.024,74.3,125.0,128.5
"Vonleh, Noah",2014,PF,80.00,247.1,27.14,7.3,108.0,88.25,9.75,11.8,31.0,37.0,11.45,3.29,3.28,NA,1.103,114.6,139.0,145
"Warren, T.J.",2014,SF,79.00,220.2,24.80,8.0,104.0,82.25,8.75,9.0,27.0,35.5,11.10,3.04,3.26,NA,1.041,78.8,131.0,139.5
"Wilcox, C.J.",2014,SG,75.50,201.0,24.79,6.5,100.5,81.75,8.75,9.0,31.0,37.5,11.30,2.92,3.22,NA,1.083,78.8,131.5,138
"Williams, Kendall",2014,PG,74.25,183.0,23.34,7.2,99.0,77.50,8.00,7.8,27.0,33.0,10.83,2.85,NA,NA,1.044,62.0,126.0,132
"Young, James",2014,SG,77.25,213.3,25.13,5.1,104.0,84.00,9.00,9.5,28.0,35.5,NA,NA,NA,NA,1.087,85.5,132.0,139.5
"Young, Patric",2014,PF,80.50,246.8,26.77,5.5,103.5,85.75,9.25,9.5,32.0,37.5,11.18,3.06,3.43,NA,1.065,87.9,135.5,141
"Adams, Steven",2013,C,82.75,254.5,26.13,6.7,109.5,88.50,9.50,11.0,28.5,33.0,11.85,3.02,3.40,16,1.069,104.5,138.0,142.5
"Blue, Vander",2013,SG,75.50,197.4,24.34,4.6,100.5,78.00,8.50,9.5,28.0,37.5,10.40,2.70,3.14,4,1.033,80.8,128.5,138
"Brown, Lorenzo",2013,PG,76.00,189.2,23.03,4.0,100.0,79.00,8.25,8.5,28.0,34.0,11.78,3.24,3.40,8,1.039,70.1,128.0,134
"Bullock, Reggie",2013,SG/SF,77.75,199.8,23.24,7.0,102.0,80.75,8.50,9.0,31.0,36.5,11.33,3.30,3.31,11,1.039,76.5,133.0,138.5
"Burke, Trey",2013,PG,71.75,187.0,25.54,6.9,97.5,77.50,8.25,8.8,29.5,36.5,11.20,3.01,3.16,3,1.080,72.2,127.0,134
"Caldwell-Pope, Kentavious",2013,SG,76.50,203.6,24.46,6.5,100.5,80.00,8.50,9.0,29.0,34.5,10.60,3.20,3.12,7,1.046,76.5,129.5,135
"Canaan, Isaiah",2013,PG,71.00,188.4,26.27,5.9,94.5,76.50,8.25,9.5,33.0,40.5,10.98,2.89,3.22,16,1.077,78.4,127.5,135
"Carmichael, Jackie",2013,PF,79.50,241.2,26.83,5.8,107.0,85.50,9.00,10.3,30.0,32.0,11.83,3.07,3.35,13,1.075,92.3,137.0,139
"Carter-Williams, Michael",2013,PG,76.75,184.4,22.01,4.4,101.0,79.25,7.50,8.5,31.5,41.0,10.68,3.70,3.22,8,1.033,63.8,132.5,142
"Clyburn, Will",2013,SG/SF,77.75,210.4,24.47,6.9,105.0,84.25,9.25,10.3,28.0,34.5,11.68,3.12,3.38,3,1.084,94.8,133.0,139.5
"Covington, Robert",2013,SF/PF,78.25,208.6,23.95,4.7,106.0,85.75,9.00,8.5,29.5,36.0,11.69,3.10,3.34,9,1.096,76.5,135.5,142
"Crabbe, Allen",2013,SG,77.25,197.4,23.25,4.7,103.5,83.25,8.25,8.5,30.5,36.0,10.67,3.10,3.32,10,1.078,70.1,134.0,139.5
"Curry, Seth",2013,SG,73.00,179.2,23.64,9.6,97.5,76.00,8.00,8.3,NA,NA,NA,NA,NA,NA,1.041,66.0,NA,NA
"Davies, Brandon",2013,PF,80.50,241.8,26.23,8.6,108.5,85.50,9.00,11.0,26.0,31.5,11.22,3.14,3.50,7,1.062,99.0,134.5,140
"Dedmon, Dewayne",2013,C,82.00,238.8,24.97,8.4,109.0,88.00,9.00,11.0,28.0,32.5,12.75,3.26,3.40,8,1.073,99.0,137.0,141.5
"Dieng, Gorgui",2013,C,81.75,229.6,24.15,5.4,111.5,87.50,9.00,10.0,NA,NA,NA,NA,NA,NA,1.070,90.0,NA,NA
"Ennis, James",2013,SF,77.75,200.8,23.35,4.5,104.5,83.50,8.50,8.8,29.5,36.5,11.55,3.06,3.40,7,1.074,74.4,134.0,141
"Felix, Carrick",2013,SG/SF,76.75,202.6,24.18,3.3,103.5,81.25,8.50,9.5,32.0,38.5,11.16,3.09,3.25,15,1.059,80.8,135.5,142
"Franklin, Jamaal",2013,SG/SF,76.00,190.8,23.22,8.3,103.5,83.25,8.50,8.3,NA,NA,NA,NA,NA,NA,1.095,70.1,NA,NA
"Gobert, Rudy",2013,C,84.50,237.6,23.39,4.4,115.0,92.50,9.75,10.0,25.0,29.0,12.85,3.19,3.57,7,1.095,97.5,140.0,144
"Goodwin, Archie",2013,SG,75.75,189.0,23.16,4.6,102.0,81.50,8.50,9.0,30.0,36.0,10.75,3.41,3.27,1,1.076,76.5,132.0,138
"Green, Erick",2013,PG,73.50,178.2,23.19,4.4,98.0,77.75,8.50,9.0,NA,NA,NA,NA,NA,5,1.058,76.5,NA,NA
"Hardaway Jr., Tim",2013,SG,76.50,199.4,23.95,6.1,101.0,79.00,8.00,9.3,31.5,37.5,10.68,2.93,3.25,16,1.033,74.0,132.5,138.5
"Hill, Solomon",2013,SF,77.50,226.0,26.45,7.6,103.0,81.00,9.00,10.5,29.5,37.5,10.77,2.91,3.19,14,1.045,94.5,132.5,140.5
"Howell, Richard",2013,PF,78.25,249.6,28.66,8.8,105.5,82.25,8.75,9.5,NA,NA,NA,NA,NA,NA,1.051,83.1,NA,NA
"Iverson, Colton",2013,C,82.50,262.8,27.14,9.6,110.0,86.00,9.25,9.5,26.5,30.0,11.52,3.04,3.52,12,1.042,87.9,136.5,140
"Jackson, Pierre",2013,PG,69.50,176.0,25.62,4.5,90.0,70.00,7.50,8.3,NA,NA,NA,NA,NA,NA,1.007,61.9,NA,NA
"Jerrett, Grant",2013,PF,80.75,232.0,25.01,10.1,109.0,86.00,8.50,9.3,28.5,34.0,11.85,3.23,3.51,2,1.065,78.6,137.5,143
"Kabongo, Myck",2013,PG,73.25,180.4,23.64,6.0,98.0,78.25,8.25,9.0,27.5,33.5,10.64,2.86,3.44,2,1.068,74.3,125.5,131.5
"Kadji, Kenny",2013,PF/C,80.75,241.6,26.05,7.5,106.5,87.00,9.00,10.3,34.0,38.0,11.47,2.88,3.44,9,1.077,92.3,140.5,144.5
"Kelly, Ryan",2013,PF,81.75,228.0,23.98,14.8,110.0,83.50,9.00,10.0,NA,NA,NA,NA,NA,NA,1.021,90.0,NA,NA
"Larkin, Shane",2013,PG,70.25,170.8,24.33,3.8,89.5,70.75,7.50,8.8,34.5,44.0,10.64,3.03,3.08,12,1.007,65.6,124.0,133.5
