PLAYER,YEAR,POS,HEIGHT,WEIGHT,BMI,BODY FAT,STANDING REACH,WINGSPAN,HAND LENGTH,HAND WIDTH,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,SHUTTLE RUN,THREE QUARTER SPRINT,BENCH PRESS,BAR,PAN,PBH,PDT
"Hummel, Robbie",2012,SF,79.25,218.0,24.40,9.4,102.0,80.50,8.50,9.5,27.5,30.0,11.56,NA,3.41,13,1.016,80.8,129.5,132
"James, Bernard",2012,PF,80.75,229.8,24.78,5.0,108.5,87.00,9.00,9.3,30.0,32.5,11.84,NA,3.40,6,1.077,83.3,138.5,141
"Jenkins, John",2012,SG,75.25,212.0,26.32,7.1,98.0,80.50,9.00,9.0,30.5,36.5,11.36,NA,3.37,10,1.070,81.0,128.5,134.5
"Johnson-Odom, Darius",2012,SG,73.50,212.0,27.59,7.0,96.0,79.00,8.75,8.8,33.5,41.5,10.76,NA,3.21,17,1.075,76.6,129.5,137.5
"Johnson, Orlando",2012,SG,75.75,223.8,27.42,7.0,99.0,83.25,9.00,9.5,32.0,39.5,10.98,NA,3.25,13,1.099,85.5,131.0,138.5
"Jones, Kevin",2012,PF,78.25,251.2,28.84,11.2,105.0,85.50,9.00,7.8,27.5,32.5,11.94,NA,3.60,17,1.093,69.8,132.5,137.5
"Jones, Perry",2012,SF/PF,82.25,233.8,24.30,4.6,107.0,85.75,9.25,9.5,33.0,38.5,11.31,NA,3.19,11,1.043,87.9,140.0,145.5
"Jones, Terrence",2012,SF/PF,80.25,252.0,27.51,7.7,107.0,86.25,9.00,10.0,29.5,34.5,11.57,NA,3.40,12,1.075,90.0,136.5,141.5
"Joseph, Kris",2012,SG,78.00,215.0,24.84,8.6,104.0,83.00,9.00,9.0,28.5,35.0,NA,NA,3.46,6,1.064,81.0,132.5,139
"Kidd-Gilchrist, Michael",2012,SF,77.75,232.8,27.07,7.0,104.5,84.00,9.00,10.3,32.0,35.5,11.77,NA,3.18,6,1.080,92.3,136.5,140
"Lamb, Doron",2012,PG/SG,75.25,199.4,24.76,6.7,98.5,78.75,8.50,8.8,29.0,33.5,11.12,NA,3.41,2,1.047,74.4,127.5,132
"Lamb, Jeremy",2012,SG,76.00,179.2,21.81,4.5,102.0,83.00,8.75,9.3,31.5,38.0,10.98,NA,3.25,5,1.092,80.9,133.5,140
"Leonard, Meyers",2012,C,83.75,249.8,25.04,5.7,108.0,87.00,9.25,11.0,30.0,32.5,11.34,NA,3.41,19,1.039,101.8,138.0,140.5
"Lillard, Damian",2012,PG,73.75,188.8,24.40,5.9,95.5,79.75,8.75,9.8,34.5,39.5,11.15,NA,3.34,13,1.081,85.3,130.0,135
"Machado, Scott",2012,PG,73.00,205.8,27.15,5.8,94.5,76.00,8.50,9.5,27.0,32.5,11.26,NA,3.30,17,1.041,80.8,121.5,127
"Marshall, Kendall",2012,PG,75.25,198.4,24.63,7.8,96.0,77.50,8.50,9.0,31.0,37.0,12.03,NA,3.23,NA,1.030,76.5,127.0,133
"Melo, Fab",2012,C,82.75,255.0,26.18,9.2,110.0,86.50,9.00,10.0,29.5,31.0,12.14,NA,3.44,9,1.045,90.0,139.5,141
"Middleton, Khris",2012,SF,78.75,216.2,24.51,7.8,103.0,82.75,9.00,9.0,28.0,31.0,11.45,NA,3.47,4,1.051,81.0,131.0,134
"Miller, Darius",2012,SG/SF,78.00,233.4,26.97,7.5,101.0,81.00,8.50,8.8,33.0,37.0,11.34,NA,3.31,14,1.038,74.4,134.0,138
"Miller, Quincy",2012,SF,80.75,218.7,23.58,7.8,105.0,85.25,9.25,10.3,30.5,36.0,11.05,NA,3.48,8,1.056,94.8,135.5,141
"Moultrie, Arnett",2012,PF,81.50,232.8,24.64,7.7,106.5,86.25,9.25,9.3,33.5,37.5,11.32,NA,3.22,10,1.058,85.6,140.0,144
"Murphy, Kevin",2012,SG,77.00,194.0,23.00,5.8,99.0,78.75,8.50,8.5,31.0,36.5,10.97,NA,3.42,11,1.023,72.3,130.0,135.5
"Nicholson, Andrew",2012,PF,80.50,234.0,25.39,7.6,107.0,88.00,10.00,10.8,28.5,30.5,11.89,NA,3.67,10,1.093,107.5,135.5,137.5
"O'Quinn, Kyle",2012,PF,80.50,240.8,26.12,8.0,106.5,88.75,9.50,10.0,31.5,31.5,11.65,NA,3.53,NA,1.102,95.0,138.0,138
"Plumlee, Miles",2012,PF/C,82.50,252.4,26.07,11.4,105.5,84.75,9.25,9.0,34.0,40.5,10.64,NA,3.36,15,1.027,83.3,139.5,146
"Rivers, Austin",2012,PG/SG,75.50,202.8,25.01,6.2,96.5,79.25,8.50,10.0,32.5,37.5,11.54,NA,3.32,1,1.050,85.0,129.0,134
"Robinson, Thomas",2012,PF,79.75,244.2,26.99,5.0,106.0,87.25,9.75,10.5,28.5,35.5,11.96,NA,3.17,15,1.094,102.4,134.5,141.5
"Ross, Terrence",2012,SG/SF,78.00,196.6,22.72,3.2,100.5,79.25,8.75,10.3,31.0,37.5,11.78,NA,3.28,2,1.016,89.7,131.5,138
"Satoransky, Tomas",2012,PG/SG,78.50,200.6,22.88,5.2,100.0,79.25,8.50,9.5,NA,NA,NA,NA,NA,NA,1.010,80.8,NA,NA
"Scott, Mike",2012,PF,79.25,240.8,26.95,10.6,104.0,82.75,8.50,9.0,27.0,32.5,11.59,NA,3.44,14,1.044,76.5,131.0,136.5
"Sims, Henry",2012,PF/C,82.00,241.2,25.22,7.7,108.0,88.00,9.25,10.0,26.5,29.5,12.33,NA,3.44,7,1.073,92.5,134.5,137.5
"Sullinger, Jared",2012,PF,79.75,268.2,29.65,10.7,105.5,85.25,9.25,9.8,29.5,31.0,12.77,NA,3.81,9,1.069,90.2,135.0,136.5
"Taylor, Jeff",2012,SG/SF,78.00,212.8,24.59,4.2,101.5,78.25,8.25,9.8,33.5,40.0,10.87,NA,3.29,15,1.003,80.4,135.0,141.5
"Taylor, Jordan",2012,PG,73.00,192.8,25.43,5.5,92.5,75.00,8.25,9.5,33.0,36.5,10.57,NA,3.19,14,1.027,78.4,125.5,129
"Taylor, Tyshawn",2012,PG,74.75,177.0,22.27,4.2,97.5,78.25,8.75,8.8,32.0,36.5,11.48,NA,3.20,0,1.047,76.6,129.5,134
"Teague, Marquis",2012,PG,73.00,179.8,23.72,6.3,96.5,79.25,8.25,7.8,32.5,40.5,10.65,NA,3.19,8,1.086,63.9,129.0,137
"Thompson, Hollis",2012,SF,78.75,206.0,23.35,6.0,102.5,81.50,8.25,9.8,28.5,36.5,11.72,NA,3.38,6,1.035,80.4,131.0,139
"Waiters, Dion",2012,SG,74.50,221.0,27.99,8.5,98.0,79.25,8.50,9.5,NA,NA,NA,NA,NA,NA,1.064,80.8,NA,NA
"White, Royce",2012,PF,79.00,260.6,29.35,10.6,104.5,84.00,9.50,11.5,NA,NA,NA,NA,NA,NA,1.063,109.3,NA,NA
"Wroten, Tony",2012,PG,76.75,203.2,24.25,5.2,101.0,81.00,8.00,9.0,30.0,35.5,10.75,NA,3.24,0,1.055,72.0,131.0,136.5
"Zeller, Tyler",2012,PF/C,83.25,247.4,25.09,6.4,104.5,84.00,9.00,9.8,30.0,34.0,11.13,NA,3.40,16,1.009,87.8,134.5,138.5
"Benson, Keith",2011,PF/C,82.00,217.0,22.69,6.1,109.5,87.75,9.50,11.0,31.5,36.0,11.88,NA,3.35,12,1.070,104.5,141.0,145.5
"Brooks, Marshon",2011,SG,76.25,194.6,23.53,5.2,101.0,85.00,9.00,10.5,34.0,38.5,10.74,NA,3.09,5,1.115,94.5,135.0,139.5
"Burks, Alec",2011,SG,77.00,192.6,22.84,5.1,103.5,82.00,9.00,8.3,29.0,36.0,10.96,NA,3.17,5,1.065,74.3,132.5,139.5
"Butler, Jimmy",2011,SF,78.00,222.2,25.67,5.4,101.5,79.50,9.00,9.0,32.0,39.0,11.12,NA,3.15,14,1.019,81.0,133.5,140.5
"Cole, Norris",2011,PG,72.25,174.4,23.49,4.7,95.5,74.25,8.50,9.5,29.5,38.5,10.07,NA,3.22,11,1.028,80.8,125.0,134
"Diebler, Jon",2011,SG,77.25,196.6,23.16,8.5,99.0,78.00,8.25,8.3,28.0,35.0,10.94,NA,3.37,2,1.010,68.1,127.0,134
"Dunigan, Michael",2011,PF/C,80.50,237.6,25.78,8.0,107.5,87.25,9.00,10.8,29.5,34.5,11.85,NA,3.27,10,1.084,96.8,137.0,142
"Dunn, LaceDarius",2011,SG,75.00,187.8,23.47,5.5,101.0,78.25,9.00,10.3,26.5,31.0,11.45,NA,3.27,3,1.043,92.3,127.5,132
"Faried, Kenneth",2011,PF,78.00,224.6,25.95,6.3,108.0,84.00,8.50,10.3,30.5,35.0,11.35,NA,3.26,16,1.077,87.1,138.5,143
"Fredette, James",2011,PG,72.75,196.0,26.03,7.7,96.5,76.50,8.00,8.5,28.0,33.0,10.42,NA,3.21,14,1.052,68.0,124.5,129.5
"Goudelock, Andrew",2011,PG,73.25,197.6,25.89,9.9,96.5,76.25,8.25,9.3,32.5,37.0,10.33,NA,3.10,4,1.041,76.3,129.0,133.5
"Hamilton, Jordan",2011,SF,78.75,228.4,25.89,9.8,104.0,81.50,9.00,9.3,25.0,32.0,11.47,NA,3.30,7,1.035,83.3,129.0,136
"Harper, Justin",2011,SF/PF,80.00,228.0,25.04,4.0,106.0,83.75,9.00,9.3,28.5,33.0,11.92,NA,3.30,19,1.047,83.3,134.5,139
"Harris, Tobias",2011,SF/PF,78.50,222.8,25.42,8.4,103.5,83.00,8.75,9.0,31.5,37.5,10.96,NA,3.17,12,1.057,78.8,135.0,141
"Honeycutt, Tyler",2011,SF,78.75,186.8,21.18,5.3,105.0,81.00,8.50,9.5,30.0,37.0,11.68,NA,3.07,NA,1.029,80.8,135.0,142
"Hopson, Scotty",2011,SG,77.75,204.6,23.79,4.8,103.5,82.50,8.50,10.0,32.5,36.0,10.47,NA,3.18,10,1.061,85.0,136.0,139.5
"Irving, Kyrie",2011,PG,73.75,191.0,24.69,10.2,99.0,76.00,8.25,9.3,NA,NA,NA,NA,NA,NA,1.031,76.3,NA,NA
"Jackson, Rick",2011,PF,80.25,241.8,26.39,8.3,106.5,86.00,8.75,9.5,28.5,33.0,11.51,NA,3.26,9,1.072,83.1,135.0,139.5
"Jenkins, Charles",2011,PG/SG,73.50,216.4,28.16,4.3,96.5,79.50,8.50,9.0,29.5,34.0,11.68,NA,3.18,16,1.082,76.5,126.0,130.5
"Johnson, JaJuan",2011,PF,81.00,219.8,23.55,7.5,107.5,86.00,9.00,10.0,33.5,38.0,11.21,NA,3.14,15,1.062,90.0,141.0,145.5
"Joseph, Cory",2011,PG,74.00,186.2,23.90,9.7,99.0,77.50,8.50,10.5,27.5,35.0,10.75,NA,3.27,5,1.047,89.3,126.5,134
"Kanter, Enes",2011,PF/C,81.75,259.2,27.27,5.9,109.5,85.50,9.50,10.8,26.0,32.5,11.30,NA,3.26,14,1.046,102.1,135.5,142
"Knight, Brandon",2011,PG,73.50,176.8,23.01,4.2,98.5,78.75,8.25,9.5,29.0,37.5,10.74,NA,3.07,10,1.071,78.4,127.5,136
"Lee, Malcolm",2011,SG,76.00,198.2,24.12,5.9,101.5,81.75,8.50,9.5,30.0,35.5,11.20,NA,3.09,17,1.076,80.8,131.5,137
"Leonard, Kawhi",2011,SF,78.00,227.4,26.28,5.4,106.0,87.00,9.75,11.3,25.5,32.0,11.45,NA,3.15,3,1.115,109.7,131.5,138
"Leslie, Travis",2011,SG,75.00,205.0,25.62,8.1,103.0,82.50,8.75,9.3,33.0,40.5,11.00,NA,3.13,10,1.100,80.9,136.0,143.5
"Leuer, Jon",2011,PF,82.00,223.2,23.34,5.4,105.5,84.00,8.75,9.8,29.5,36.5,10.82,NA,3.36,14,1.024,85.3,135.0,142
"Liggins, DeAndre",2011,SG/SF,77.00,202.2,23.97,5.0,103.5,83.00,8.75,10.0,27.0,31.0,NA,NA,3.33,6,1.078,87.5,130.5,134.5
"Lighty, David",2011,SG,76.75,216.2,25.80,6.5,101.0,80.00,9.00,10.0,28.5,33.0,10.81,NA,3.25,15,1.042,90.0,129.5,134
"Mack, Shelvin",2011,PG,73.00,209.0,27.57,7.1,96.5,79.50,8.25,9.3,32.0,39.0,11.23,NA,3.18,17,1.089,76.3,128.5,135.5
"McCamey, Demetri",2011,PG,73.75,204.0,26.37,6.1,99.5,78.25,8.50,9.0,27.0,33.0,11.55,NA,3.19,NA,1.061,76.5,126.5,132.5
"Moore, E'Twaun",2011,SG,74.50,191.4,24.24,7.6,99.5,81.50,9.00,10.0,32.0,34.5,11.12,NA,3.31,NA,1.094,90.0,131.5,134
"Morris, Darius",2011,PG/SG,75.25,190.0,23.59,5.3,102.0,79.50,8.75,10.0,24.5,32.0,11.00,NA,3.20,12,1.056,87.5,126.5,134
"Morris, Marcus",2011,SF/PF,79.00,229.6,25.86,8.0,105.5,82.00,8.25,8.5,29.0,33.0,NA,NA,3.15,11,1.038,70.1,134.5,138.5
"Morris, Markieff",2011,PF,79.75,240.8,26.62,10.2,106.5,82.75,8.50,8.3,27.0,31.5,NA,NA,3.40,11,1.038,70.1,133.5,138
"Parsons, Chandler",2011,SF,80.75,221.2,23.85,7.0,104.5,81.50,8.25,10.0,25.5,31.5,11.05,NA,3.29,4,1.009,82.5,130.0,136
"Richmond, Jereme",2011,SF,78.00,207.2,23.94,5.5,106.5,82.25,8.75,9.5,27.0,33.5,11.74,NA,3.02,0,1.054,83.1,133.5,140
"Selby, Josh",2011,PG/SG,73.75,194.6,25.15,7.9,98.0,77.25,8.50,9.0,29.5,42.0,11.13,NA,3.20,5,1.047,76.5,127.5,140
"Shumpert, Iman",2011,PG/SG,76.25,221.8,26.82,6.5,99.5,81.50,9.00,9.0,36.5,42.0,11.10,NA,3.18,18,1.069,81.0,136.0,141.5
"Singler, Kyle",2011,SF,79.50,228.0,25.36,10.0,106.0,82.10,8.25,8.8,23.0,30.0,11.22,NA,3.21,10,1.033,72.2,129.0,136
"Singleton, Chris",2011,SF,79.75,230.2,25.44,7.4,103.5,85.00,9.25,10.0,30.5,37.5,11.33,NA,3.09,15,1.066,92.5,134.0,141
"Skeen, Jamie",2011,PF,78.50,241.6,27.56,9.8,106.5,85.25,8.50,8.5,26.0,30.5,12.43,NA,3.46,10,1.086,72.3,132.5,137
"Smith, Gregory",2011,PF/C,80.00,252.8,27.77,7.4,106.5,86.50,9.75,12.0,29.5,36.0,12.43,NA,3.36,17,1.081,117.0,136.0,142.5
"Smith, Nolan",2011,PG,73.50,187.6,24.41,5.6,99.0,77.50,8.50,9.3,28.5,34.0,11.05,NA,3.17,9,1.054,78.6,127.5,133
"Thomas, Isaiah",2011,PG,68.75,186.0,27.66,6.7,91.5,73.75,8.25,9.0,31.5,40.0,10.49,NA,3.14,13,1.073,74.3,123.0,131.5
"Thomas, Malcolm",2011,PF,79.50,223.0,24.80,5.9,107.5,84.50,9.50,10.5,32.0,36.5,11.31,NA,3.29,3,1.063,99.8,139.5,144
"Thompkins, Trey",2011,PF,80.50,239.0,25.93,15.5,107.5,85.00,9.25,9.8,27.5,30.5,11.72,NA,3.41,15,1.056,90.2,135.0,138
"Thompson, Klay",2011,SG,77.75,205.6,23.91,8.0,103.5,81.00,8.75,9.3,26.5,31.5,10.99,NA,3.24,5,1.042,80.9,130.0,135
"Thompson, Tristan",2011,PF,79.50,227.4,25.29,6.2,108.5,85.25,8.75,9.3,30.0,35.0,10.92,NA,3.26,9,1.072,80.9,138.5,143.5
"Tyler, Jeremy",2011,PF/C,81.00,262.4,28.12,13.4,110.5,89.00,9.25,9.0,28.0,33.5,11.26,NA,3.29,10,1.099,83.3,138.5,144
"Vucevic, Nikola",2011,PF/C,82.25,259.8,27.00,6.1,112.5,88.50,9.25,10.3,23.5,25.0,12.02,NA,3.27,8,1.076,94.8,136.0,137.5
"Walker, Kemba",2011,PG,71.50,184.0,25.30,5.9,91.5,75.50,8.00,9.0,32.0,39.5,10.87,NA,3.16,7,1.056,72.0,123.5,131
"Williams, Derrick",2011,SF/PF,79.25,248.4,27.80,10.8,108.0,85.50,9.00,9.8,29.0,34.5,11.03,NA,3.23,19,1.079,87.8,137.0,142.5
"Williams, Jordan",2011,PF,79.75,247.2,27.32,12.1,106.5,84.25,9.25,10.0,25.0,30.5,12.74,NA,3.45,10,1.056,92.5,131.5,137
"Alabi, Solomon",2010,C,83.50,237.4,23.94,5.0,113.0,89.00,9.25,9.3,22.5,26.0,13.20,NA,3.68,10,1.066,85.6,135.5,139
"Aldrich, Cole",2010,C,81.00,236.0,25.29,8.5,111.5,88.75,9.00,9.3,23.0,28.0,11.48,NA,3.35,10,1.096,83.3,134.5,139.5
"Aminu, Al-Farouq",2010,SF,79.25,216.0,24.18,8.2,108.5,87.25,9.50,9.5,27.0,33.5,11.29,NA,3.30,13,1.101,90.3,135.5,142
"Anderson, James",2010,SF,76.75,207.6,24.78,7.9,104.0,80.50,8.50,7.3,30.0,35.5,11.86,NA,3.19,14,1.049,61.6,134.0,139.5
"Babbitt, Luke",2010,SF/PF,79.50,217.8,24.23,5.6,104.5,83.25,8.50,10.0,29.5,37.5,10.98,NA,3.40,15,1.047,85.0,134.0,142
"Bledsoe, Eric",2010,PG,72.25,191.6,25.80,5.6,98.0,79.50,8.50,9.8,NA,NA,NA,NA,NA,9,1.100,82.9,NA,NA
"Booker, Trevor",2010,PF,78.25,235.8,27.07,7.3,106.0,81.75,9.00,9.5,31.0,36.0,11.15,NA,3.10,22,1.045,85.5,137.0,142
"Brackins, Craig",2010,SF/PF,80.50,229.0,24.84,7.9,109.0,84.00,9.50,11.3,26.0,35.0,11.65,NA,3.39,6,1.043,106.9,135.0,144
"Bradley, Avery",2010,PG/SG,74.00,180.4,23.16,4.0,98.5,79.25,8.25,9.5,31.5,37.5,11.47,NA,3.14,2,1.071,78.4,130.0,136
"Caracter, Derrick",2010,PF,80.25,280.0,30.56,12.8,107.5,84.25,9.00,10.3,25.0,30.5,12.78,NA,3.61,22,1.050,92.3,132.5,138
"Collins, Sherron",2010,PG,70.25,217.2,30.94,9.2,94.0,74.50,8.50,9.5,27.5,33.0,12.31,NA,3.24,NA,1.060,80.8,121.5,127
"Cousins, DeMarcus",2010,C,81.50,291.8,30.88,16.4,113.0,89.75,9.25,10.0,23.5,27.5,11.40,NA,3.55,NA,1.101,92.5,136.5,140.5
"Crawford, Jordan",2010,SG,75.00,198.4,24.80,4.9,101.0,79.00,8.00,9.0,31.5,34.5,11.03,NA,3.37,7,1.053,72.0,132.5,135.5
"Davis, Ed",2010,PF,81.00,226.6,24.28,10.0,108.0,84.00,9.25,10.0,31.0,36.0,11.70,NA,3.21,NA,1.037,92.5,139.0,144
"Ebanks, Devin",2010,SF,79.00,207.8,23.41,7.9,107.5,84.25,8.25,9.0,23.5,32.0,11.69,NA,3.44,6,1.066,74.3,131.0,139.5
"Favors, Derrick",2010,PF,80.75,245.2,26.44,6.5,110.0,88.00,8.75,9.3,31.5,35.5,11.74,NA,3.25,14,1.090,80.9,141.5,145.5
"Gallon, Keith",2010,PF/C,80.50,301.8,32.74,15.1,109.5,88.50,9.25,10.5,23.5,28.5,13.44,NA,3.70,14,1.099,97.1,133.0,138
"Garcia, Charles",2010,SF,80.25,231.6,25.28,7.0,107.5,85.75,8.75,9.0,24.5,30.5,11.65,NA,3.23,2,1.069,78.8,132.0,138
"George, Paul",2010,SF,79.75,214.4,23.70,5.0,107.0,83.25,8.50,9.0,NA,NA,NA,NA,NA,4,1.044,76.5,NA,NA
"Harangody, Luke",2010,PF,78.00,240.2,27.75,11.1,106.0,81.50,8.75,9.8,24.0,28.5,11.83,NA,3.41,23,1.045,85.3,130.0,134.5
"Harris, Manny",2010,SG,76.00,185.1,22.53,3.8,102.0,79.25,8.50,9.0,NA,NA,NA,NA,NA,11,1.043,76.5,NA,NA
"Hayward, Gordon",2010,SF,78.75,211.0,23.92,6.9,103.0,79.75,8.50,9.3,30.5,34.5,11.73,NA,3.22,10,1.013,78.6,133.5,137.5
"Hayward, Lazar",2010,SG/SF,76.50,225.8,27.12,7.5,102.0,84.75,9.25,9.5,31.0,36.0,10.87,NA,3.31,15,1.108,87.9,133.0,138
"Henry, Xavier",2010,SG,77.25,210.2,24.76,4.7,105.0,83.25,8.75,10.0,28.5,36.5,11.10,NA,3.18,8,1.078,87.5,133.5,141.5
"Hobson, Darington",2010,SG/SF,77.25,203.6,23.98,6.2,104.5,81.25,8.25,9.0,29.0,34.0,11.68,NA,3.25,NA,1.052,74.3,133.5,138.5
"James, Damion",2010,SF,78.25,226.6,26.02,9.6,107.0,84.75,9.25,8.5,29.0,33.0,10.89,NA,3.20,13,1.083,78.6,136.0,140
"Johnson, Armon",2010,PG/SG,74.00,195.2,25.06,5.6,99.5,80.00,8.25,9.3,31.5,38.5,11.25,NA,3.19,18,1.081,76.3,131.0,138
"Johnson, Wesley",2010,SF,78.25,206.4,23.70,4.6,106.0,85.00,9.00,9.5,32.0,37.0,11.43,NA,3.14,16,1.086,85.5,138.0,143
"Jones, Dominique",2010,SG,75.25,216.0,26.82,5.9,101.0,81.25,9.00,10.3,26.0,32.5,10.88,NA,3.31,19,1.080,92.3,127.0,133.5
"Jordan, Jerome",2010,C,83.50,244.2,24.62,6.9,113.0,89.25,9.00,10.3,NA,NA,NA,NA,NA,NA,1.069,92.3,NA,NA
"Landesberg, Sylven",2010,SG,76.75,210.0,25.06,11.6,100.5,81.00,8.75,10.8,28.0,32.0,11.59,NA,3.36,8,1.055,94.1,128.5,132.5
"Lawal, Gani",2010,PF,79.50,233.4,25.96,6.3,107.5,84.00,8.50,10.0,27.0,31.5,11.61,NA,3.24,20,1.057,85.0,134.5,139
"Monroe, Greg",2010,PF/C,81.75,246.6,25.94,11.2,108.5,86.25,8.75,9.5,25.0,29.0,12.10,NA,3.35,15,1.055,83.1,133.5,137.5
"Orton, Daniel",2010,C,80.75,269.2,29.02,13.8,110.5,88.25,8.50,9.8,24.0,30.5,12.32,NA,3.39,13,1.093,82.9,134.5,141
"Parakhouski, Artsiom",2010,C,82.25,268.2,27.87,6.0,109.5,85.00,9.00,10.5,25.5,26.5,12.07,NA,3.33,16,1.033,94.5,135.0,136
"Patterson, Patrick",2010,PF,80.00,239.6,26.32,5.3,107.0,85.25,9.25,10.3,28.5,33.5,11.14,NA,3.25,17,1.066,94.8,135.5,140.5
"Pittman, Dexter",2010,PF/C,81.50,302.6,32.03,20.8,111.0,90.00,10.25,10.5,NA,NA,NA,NA,NA,NA,1.104,107.6,NA,NA
"Rautins, Andy",2010,SG,76.25,191.6,23.17,6.2,100.0,79.00,8.00,9.8,23.5,30.5,11.27,NA,3.49,8,1.036,78.0,123.5,130.5
"Richards, Ryan",2010,PF,82.50,230.2,23.78,8.0,110.0,85.50,9.00,9.8,25.0,28.5,11.33,NA,3.37,4,1.036,87.8,135.0,138.5
"Robinson, Stanley",2010,SF,78.50,213.2,24.32,8.3,107.5,84.00,9.00,9.0,NA,37.5,11.65,NA,3.23,6,1.070,81.0,NA,145
"Sanders, Larry",2010,PF/C,81.25,222.4,23.68,4.6,112.0,89.75,9.75,11.0,25.5,28.0,12.49,NA,3.27,7,1.105,107.3,137.5,140
"Scheyer, Jon",2010,PG/SG,76.75,180.0,21.48,5.4,99.0,75.25,7.75,9.5,NA,NA,NA,NA,NA,NA,0.980,73.6,NA,NA
"Stephenson, Lance",2010,SG,76.50,227.0,27.27,9.3,103.0,82.50,9.00,10.3,27.0,33.0,11.39,NA,3.38,10,1.078,92.3,130.0,136
"Torrance, Mikhail",2010,PG,76.00,208.8,25.41,7.0,103.0,79.50,8.75,9.5,23.0,32.0,11.43,NA,3.17,8,1.046,83.1,126.0,135
"Turner, Evan",2010,SG,77.75,213.8,24.86,8.6,103.5,80.00,8.75,9.5,27.5,34.5,11.06,NA,3.27,9,1.029,83.1,131.0,138
"Udoh, Ekpe",2010,PF,80.75,237.4,25.59,8.0,106.5,88.50,9.50,8.8,31.0,33.5,11.15,NA,3.29,10,1.096,83.1,137.5,140
"Varnado, Jarvis",2010,PF/C,80.25,210.2,22.95,9.5,109.5,87.50,9.25,9.5,29.5,32.5,11.61,NA,3.37,3,1.090,87.9,139.0,142
"Vasquez, Greivis",2010,PG/SG,77.00,210.8,24.99,8.6,101.0,79.00,7.75,9.3,NA,NA,NA,NA,NA,NA,1.026,71.7,NA,NA
"Wall, John",2010,PG,74.75,195.6,24.61,5.6,101.5,81.25,8.25,9.5,30.0,39.0,10.84,NA,3.14,NA,1.087,78.4,131.5,140.5
"Warren, Willie",2010,PG/SG,74.50,208.4,26.40,7.6,99.5,78.00,8.50,9.5,23.0,31.5,11.21,NA,3.50,10,1.047,80.8,122.5,131
"White, Terrico",2010,PG/SG,75.75,202.6,24.82,3.7,101.0,81.00,9.00,10.5,31.0,40.0,11.38,NA,3.15,10,1.069,94.5,132.0,141
"Whiteside, Hassan",2010,PF/C,82.50,226.6,23.40,5.5,113.0,91.00,8.25,10.3,27.0,31.5,11.83,NA,3.54,12,1.103,84.6,140.0,144.5
"Adrien, Jeff",2009,PF,77.25,236.2,27.83,7.9,107.5,86.00,NA,NA,27.5,31.5,11.34,NA,3.32,16,1.113,NA,135.0,139
"Ayres, Jeff",2009,PF,80.75,239.6,25.83,5.5,107.0,85.00,NA,NA,31.0,35.0,11.98,NA,3.14,15,1.053,NA,138.0,142
"Beaubois, Rodrigue",2009,PG,73.25,182.4,23.90,7.9,100.0,81.75,NA,NA,29.5,39.0,10.49,NA,3.15,3,1.116,NA,129.5,139
"Blair, DeJuan",2009,PF,77.25,276.6,32.58,12.0,106.5,86.00,NA,NA,26.0,33.0,11.50,NA,3.45,18,1.113,NA,132.5,139.5
"Brown, Derrick",2009,SF/PF,79.50,224.6,24.98,8.6,107.5,86.50,NA,NA,30.5,35.5,11.26,NA,3.13,20,1.088,NA,138.0,143
"Budinger, Chase",2009,SG/SF,78.25,206.4,23.70,10.0,101.0,79.00,NA,NA,29.5,38.5,11.08,NA,3.24,10,1.010,NA,130.5,139.5
"Carroll, DeMarre",2009,SF/PF,78.25,207.2,23.79,6.3,105.0,82.00,NA,NA,NA,NA,NA,NA,NA,NA,1.048,NA,NA,NA
"Casspi, Omri",2009,SF,79.75,211.2,23.34,8.6,106.5,81.25,NA,NA,25.5,32.5,11.15,NA,3.28,2,1.019,NA,132.0,139
"Christmas, Dionte",2009,SG,76.25,210.8,25.49,7.1,102.5,81.00,NA,NA,27.0,33.5,10.83,NA,3.21,3,1.062,NA,129.5,136
"Clark, Earl",2009,SF/PF,80.50,228.4,24.78,5.2,109.5,86.50,NA,NA,28.5,33.0,11.17,NA,3.35,5,1.075,NA,138.0,142.5
"Collison, Darren",2009,PG,72.25,166.2,22.38,5.7,96.5,75.00,NA,NA,30.5,33.5,10.45,NA,3.10,9,1.038,NA,127.0,130
"Cunningham, Dante",2009,PF,79.00,227.4,25.61,4.8,106.5,83.00,NA,NA,28.0,35.0,11.18,NA,3.26,18,1.051,NA,134.5,141.5
"Curry, Stephen",2009,PG/SG,74.00,181.0,23.24,5.7,97.0,75.50,NA,NA,29.5,35.5,11.07,NA,3.28,10,1.020,NA,126.5,132.5
"Daye, Austin",2009,SF/PF,81.75,191.8,20.18,5.5,110.0,86.75,NA,NA,25.0,28.0,12.11,NA,3.55,0,1.061,NA,135.0,138
"DeRozan, DeMar",2009,SG/SF,77.50,211.2,24.72,4.9,102.5,81.00,NA,NA,29.0,38.5,11.88,NA,3.31,5,1.045,NA,131.5,141
"Douglas, Toney",2009,PG,73.00,183.4,24.19,5.2,97.5,78.00,NA,NA,28.0,32.5,10.63,NA,3.03,15,1.068,NA,125.5,130
